Frame,L_Femur_L_Tibia,L_Tibia_L_Foot_X,L_Tibia_L_Foot_Y,L_Tibia_L_Foot_Z,R_Femur_R_Tibia,R_Tibia_R_Foot_X,R_Tibia_R_Foot_Y,R_Tibia_R_Foot_Z,Root_L_Femur_X,Root_L_Femur_Y,Root_L_Femur_Z,Root_R_Femur_X,Root_R_Femur_Y,Root_R_Femur_Z,World_Root_Ang_X,World_Root_Ang_Y,World_Root_Ang_Z,World_Root_Pos_X,World_Root_Pos_Y,World_Root_Pos_Z
27,8.26985,-12.89270,-32.53260,-51.83590,3.97177,-12.06070,24.24570,43.16540,-14.78380,22.01100,12.06960,-11.49120,-30.16250,-14.29170,162.09700,-69.01980,165.28600,53.26940,865.51700,304.42500
28,8.26948,-12.88460,-32.54430,-51.82990,3.98306,-12.05820,24.29200,43.16320,-14.78920,22.02460,12.07040,-11.51490,-30.19550,-14.30420,162.09100,-69.01390,165.28100,53.28370,865.52600,304.43300
29,8.27136,-12.88240,-32.54780,-51.81040,3.98335,-12.05940,24.31230,43.16570,-14.79510,22.04040,12.06780,-11.52970,-30.21040,-14.31330,162.08400,-69.00740,165.28000,53.29380,865.52300,304.44500
30,8.26736,-12.87900,-32.54970,-51.79920,3.97612,-12.05710,24.31790,43.15720,-14.79170,22.04970,12.06740,-11.52710,-30.20950,-14.31250,162.09300,-69.00060,165.29000,53.30010,865.52800,304.44700
31,8.27312,-12.87640,-32.56290,-51.78820,3.98248,-12.05980,24.34650,43.16790,-14.79530,22.06530,12.06860,-11.53930,-30.23300,-14.32240,162.09900,-68.99750,165.29900,53.30190,865.53000,304.44900
32,8.27215,-12.87370,-32.56330,-51.77830,3.98029,-12.06010,24.36220,43.16560,-14.78930,22.06540,12.06680,-11.53890,-30.24300,-14.32610,162.11200,-68.99550,165.31300,53.29840,865.52700,304.44600
33,8.27264,-12.87320,-32.55550,-51.77910,3.97436,-12.06410,24.36660,43.18680,-14.77560,22.05680,12.06340,-11.52680,-30.25050,-14.32870,162.14200,-69.00040,165.34300,53.29480,865.52500,304.43600
34,8.27079,-12.87080,-32.54000,-51.77120,3.97490,-12.05790,24.36710,43.18490,-14.76990,22.03460,12.06000,-11.52520,-30.24670,-14.32790,162.14600,-69.00110,165.34700,53.31160,865.52700,304.44200
35,8.26915,-12.86850,-32.51630,-51.77980,3.96891,-12.06020,24.35760,43.20890,-14.74500,22.01270,12.05260,-11.50220,-30.24430,-14.32850,162.19100,-69.01040,165.39200,53.30480,865.52300,304.42500
36,8.26843,-12.86960,-32.49310,-51.78510,3.96692,-12.05010,24.32890,43.18780,-14.74690,21.98850,12.05440,-11.49750,-30.22010,-14.31690,162.18200,-69.00640,165.37900,53.33060,865.52900,304.43000
37,8.26753,-12.86080,-32.48070,-51.76800,3.97253,-12.05850,24.33090,43.19550,-14.72720,21.97060,12.04660,-11.48830,-30.22750,-14.32410,162.22000,-69.01540,165.41800,53.33940,865.53300,304.42500
38,8.27105,-12.85700,-32.46280,-51.76520,3.97592,-12.05460,24.31170,43.17270,-14.73790,21.95990,12.05040,-11.49340,-30.20740,-14.31550,162.20300,-69.00850,165.39800,53.37840,865.54300,304.42700
39,8.27519,-12.85360,-32.46530,-51.75960,3.98414,-12.05430,24.30920,43.16330,-14.73830,21.96600,12.05290,-11.49150,-30.20070,-14.31520,162.21800,-69.00940,165.41100,53.40210,865.54000,304.42700
40,8.27974,-12.84910,-32.48470,-51.74460,3.98658,-12.06950,24.29340,43.18460,-14.73180,21.97130,12.05270,-11.47590,-30.19200,-14.31690,162.24800,-69.02130,165.44200,53.41530,865.54400,304.41700
