Frame,L_Femur_L_Tibia,L_Tibia_L_Foot_X,L_Tibia_L_Foot_Y,L_Tibia_L_Foot_Z,R_Femur_R_Tibia,R_Tibia_R_Foot_X,R_Tibia_R_Foot_Y,R_Tibia_R_Foot_Z,Root_L_Femur_X,Root_L_Femur_Y,Root_L_Femur_Z,Root_R_Femur_X,Root_R_Femur_Y,Root_R_Femur_Z,World_Root_Ang_X,World_Root_Ang_Y,World_Root_Ang_Z,World_Root_Pos_X,World_Root_Pos_Y,World_Root_Pos_Z
1.00000,8.50452,-13.38930,-29.51920,-48.87630,5.90827,-14.53350,24.92470,41.36600,-12.47270,15.67910,9.53770,-9.54505,-23.13570,-10.05350,167.48500,-51.50680,172.30600,-31.88080,872.47400,410.77200
2.00000,8.52603,-13.37400,-29.46550,-48.84670,5.94896,-14.48720,24.76410,41.26400,-12.58960,15.68020,9.56894,-9.64343,-22.92930,-10.00780,167.36500,-51.43670,172.18900,-31.59150,872.52900,411.03400
3.00000,8.52431,-13.37410,-29.45950,-48.85400,5.95012,-14.47670,24.74630,41.23460,-12.58400,15.66660,9.57088,-9.63310,-22.91850,-10.00220,167.37600,-51.44440,172.19400,-31.54870,872.53000,411.05800
4.00000,8.52153,-13.37340,-29.45320,-48.84890,5.94977,-14.47460,24.74440,41.22490,-12.57710,15.66220,9.57163,-9.62590,-22.91880,-9.99968,167.38800,-51.44730,172.20100,-31.52290,872.53000,411.07900
5.00000,8.48980,-13.35900,-29.47300,-48.82030,5.93391,-14.37520,24.77810,41.15120,-12.55460,15.62450,9.57605,-9.60310,-22.90930,-9.98789,167.40500,-51.44690,172.21200,-31.49230,872.53100,411.08300
6.00000,8.51078,-13.37020,-29.41840,-48.86330,5.92135,-14.41730,24.76710,41.16530,-12.55230,15.62630,9.57321,-9.59573,-22.92390,-9.98634,167.41800,-51.44330,172.21900,-31.46980,872.53500,411.10700
7.00000,8.50682,-13.38080,-29.38250,-48.88890,5.90493,-14.41300,24.79230,41.17490,-12.53320,15.59460,9.57109,-9.58000,-22.93680,-9.98260,167.43900,-51.43920,172.23500,-31.45370,872.53700,411.12400
8.00000,8.50445,-13.37930,-29.34700,-48.88060,5.89407,-14.34640,24.85970,41.11920,-12.51650,15.56560,9.56585,-9.57266,-22.96110,-9.98445,167.45600,-51.43240,172.25000,-31.44550,872.53600,411.14200
9.00000,8.50131,-13.38150,-29.31020,-48.88630,5.89247,-14.33890,24.91440,41.09440,-12.49750,15.53560,9.56505,-9.57229,-23.00430,-9.98739,167.47800,-51.42240,172.26600,-31.43500,872.53900,411.16100
10.00000,8.50421,-13.37170,-29.27390,-48.87180,5.87998,-14.33090,24.95620,41.08450,-12.48670,15.50550,9.55586,-9.57351,-23.02720,-9.99477,167.48800,-51.41200,172.27900,-31.43340,872.54700,411.19700
11.00000,8.50760,-13.37690,-29.24520,-48.87190,5.86845,-14.32260,24.98430,41.06460,-12.47200,15.49140,9.55781,-9.56256,-23.04490,-9.99087,167.51000,-51.39860,172.29400,-31.42560,872.54700,411.21100
12.00000,8.51449,-13.37520,-29.23100,-48.86350,5.85217,-14.30300,25.01410,41.04920,-12.46570,15.48340,9.55763,-9.55505,-23.05950,-9.99104,167.52400,-51.38820,172.30600,-31.42820,872.55900,411.23100
13.00000,8.51707,-13.37840,-29.22170,-48.86120,5.83997,-14.30340,25.01760,41.04590,-12.45440,15.48010,9.55789,-9.54174,-23.06150,-9.98743,167.54200,-51.37930,172.32100,-31.42750,872.55600,411.24300
14.00000,8.52339,-13.37750,-29.21610,-48.85600,5.82948,-14.29240,25.02120,41.02140,-12.44290,15.48060,9.55986,-9.52445,-23.06210,-9.98426,167.56400,-51.37390,172.33700,-31.43860,872.56700,411.25300
15.00000,8.53091,-13.37680,-29.22130,-48.83800,5.82873,-14.28490,25.01600,41.01350,-12.43960,15.49670,9.56345,-9.51588,-23.05030,-9.98214,167.58000,-51.36610,172.34900,-31.43880,872.57400,411.26300
16.00000,8.53566,-13.37600,-29.22710,-48.83130,5.82844,-14.27800,25.00150,40.99640,-12.43000,15.50500,9.56883,-9.49959,-23.03860,-9.97592,167.60300,-51.36410,172.36300,-31.43610,872.57900,411.26900
17.00000,8.54304,-13.38150,-29.22760,-48.82470,5.83452,-14.27030,24.98160,40.98870,-12.42350,15.50930,9.57143,-9.48826,-23.01800,-9.97300,167.62200,-51.36230,172.37700,-31.43440,872.58700,411.28200
18.00000,8.54829,-13.37440,-29.23730,-48.81210,5.83203,-14.26480,24.93880,40.97120,-12.41410,15.51500,9.57650,-9.46326,-22.97540,-9.96271,167.64700,-51.36280,172.39300,-31.42490,872.59900,411.28800
19.00000,8.53646,-13.38310,-29.26880,-48.81450,5.80557,-14.28510,24.95400,41.01340,-12.34300,15.50570,9.56372,-9.38094,-23.03830,-9.97350,167.72800,-51.41390,172.46100,-31.58250,872.57100,411.16300
20.00000,8.55705,-13.37400,-29.23820,-48.80230,5.82950,-14.25990,24.80900,40.95650,-12.39610,15.51100,9.57973,-9.41402,-22.86360,-9.94411,167.68800,-51.36740,172.42100,-31.40110,872.61300,411.32000
21.00000,8.56198,-13.37160,-29.25210,-48.79210,5.82979,-14.26300,24.76090,40.94780,-12.39100,15.51570,9.58447,-9.39155,-22.82100,-9.93583,167.70700,-51.37590,172.43200,-31.38710,872.60600,411.33100
22.00000,8.56943,-13.37860,-29.26420,-48.79800,5.83207,-14.25630,24.71890,40.94150,-12.39090,15.52240,9.58732,-9.37682,-22.78300,-9.93026,167.72000,-51.38140,172.44100,-31.36830,872.60800,411.34600
23.00000,8.57388,-13.37460,-29.27090,-48.78940,5.83637,-14.26050,24.69550,40.95770,-12.38670,15.52490,9.59269,-9.36277,-22.76080,-9.92358,167.73700,-51.38660,172.45000,-31.34460,872.60300,411.35500
24.00000,8.57294,-13.37520,-29.28330,-48.78300,5.85070,-14.27470,24.68030,40.96210,-12.38220,15.53130,9.59259,-9.36125,-22.75480,-9.92552,167.74800,-51.39250,172.45800,-31.33090,872.60000,411.36400
25.00000,8.57338,-13.37220,-29.28960,-48.78450,5.84514,-14.26320,24.65800,40.95500,-12.38100,15.52800,9.59595,-9.34860,-22.73770,-9.91927,167.75400,-51.39960,172.46000,-31.31260,872.60200,411.36700
26.00000,8.55719,-13.38880,-29.32560,-48.80600,5.81850,-14.29590,24.71940,41.01450,-12.32380,15.53130,9.58708,-9.28700,-22.84080,-9.93215,167.81400,-51.44800,172.51100,-31.45130,872.56900,411.23100
27.00000,8.57104,-13.37970,-29.29220,-48.79530,5.84135,-14.26670,24.63970,40.95440,-12.37510,15.53850,9.60529,-9.33287,-22.71550,-9.90770,167.77000,-51.39710,172.46700,-31.27150,872.60400,411.37000
28.00000,8.56233,-13.38520,-29.28320,-48.81380,5.82384,-14.25580,24.61720,40.93470,-12.36380,15.53130,9.61213,-9.30892,-22.70130,-9.89247,167.78300,-51.39610,172.47000,-31.25740,872.60600,411.35500
29.00000,8.56160,-13.38540,-29.28880,-48.80880,5.81294,-14.24130,24.61590,40.92000,-12.36210,15.54070,9.61985,-9.29894,-22.69050,-9.88319,167.79000,-51.38710,172.47100,-31.23720,872.61200,411.35100
30.00000,8.56093,-13.38990,-29.28940,-48.81620,5.81250,-14.24270,24.63780,40.90640,-12.35800,15.55160,9.62580,-9.29774,-22.70990,-9.88041,167.80000,-51.37810,172.47700,-31.22210,872.61400,411.34300
31.00000,8.55725,-13.38750,-29.28160,-48.82330,5.80787,-14.23660,24.66470,40.89010,-12.35620,15.54990,9.63170,-9.30084,-22.73060,-9.87544,167.80200,-51.36650,172.47500,-31.19610,872.61900,411.33900
32.00000,8.56044,-13.39030,-29.27880,-48.82200,5.80711,-14.22800,24.70670,40.88870,-12.35580,15.55320,9.63593,-9.30725,-22.76150,-9.87646,167.80700,-51.35530,172.47700,-31.18240,872.62200,411.33300
33.00000,8.56077,-13.39130,-29.24300,-48.83430,5.82353,-14.21910,24.72480,40.86600,-12.34670,15.55600,9.63809,-9.32114,-22.73480,-9.87767,167.82600,-51.31840,172.49300,-31.12180,872.62800,411.40000
34.00000,8.54266,-13.38580,-29.26400,-48.81490,5.81101,-14.21640,24.78290,40.86030,-12.34430,15.51180,9.64470,-9.32306,-22.81660,-9.87504,167.81200,-51.33430,172.47700,-31.13620,872.62600,411.32300
35.00000,8.55985,-13.39950,-29.22110,-48.84720,5.81481,-14.21280,24.82410,40.84080,-12.34600,15.50920,9.64416,-9.33277,-22.84760,-9.87766,167.81600,-51.32520,172.47800,-31.12390,872.62600,411.33100
36.00000,8.56287,-13.39940,-29.19280,-48.85430,5.82155,-14.21510,24.85430,40.83120,-12.34510,15.49130,9.64684,-9.34259,-22.87700,-9.87785,167.81900,-51.31830,172.47700,-31.10120,872.62600,411.33700
37.00000,8.56047,-13.40080,-29.16660,-48.86340,5.64978,-14.15780,24.58170,40.90530,-12.33350,15.46840,9.64547,-9.19400,-22.61080,-9.80623,167.82900,-51.31410,172.48400,-31.09920,872.63300,411.34500
38.00000,8.56219,-13.40530,-29.14790,-48.87650,5.77185,-14.18660,24.78760,40.82790,-12.33650,15.45190,9.65445,-9.29920,-22.80170,-9.84715,167.82700,-51.30460,172.47600,-31.05580,872.63400,411.33600
39.00000,8.55847,-13.40040,-29.12970,-48.86880,5.63986,-14.14880,24.57980,40.90850,-12.32430,15.43870,9.64937,-9.18439,-22.60460,-9.79660,167.83900,-51.30340,172.48700,-31.05810,872.63500,411.34900
40.00000,8.54760,-13.40280,-29.15660,-48.87820,5.60633,-14.16740,24.60560,40.98130,-12.26760,15.43740,9.63851,-9.11524,-22.66150,-9.80533,167.90500,-51.34140,172.54700,-31.14540,872.61400,411.23100
41.00000,8.54419,-13.40190,-29.17570,-48.87340,5.59955,-14.16620,24.61040,40.99110,-12.26540,15.45950,9.63998,-9.11028,-22.66070,-9.80600,167.91100,-51.33750,172.55400,-31.13610,872.61200,411.23400
42.00000,8.54436,-13.39700,-29.20240,-48.86850,5.58305,-14.16370,24.60120,40.99980,-12.27070,15.48260,9.64145,-9.10023,-22.65160,-9.80307,167.91000,-51.34040,172.55400,-31.12990,872.61500,411.23000
43.00000,8.55279,-13.38360,-29.19040,-48.85470,5.59730,-14.14050,24.53610,40.93750,-12.33850,15.50530,9.65587,-9.15762,-22.55710,-9.78465,167.83500,-51.30390,172.48600,-31.00210,872.64300,411.35000
44.00000,8.53412,-13.36510,-29.24330,-48.81620,5.73602,-14.17760,24.78470,40.83900,-12.34550,15.51480,9.66575,-9.28231,-22.80180,-9.83799,167.82400,-51.30700,172.47400,-30.98010,872.64600,411.33400
45.00000,8.54888,-13.37400,-29.25450,-48.83810,5.75058,-14.18090,24.83500,40.82000,-12.36470,15.55080,9.66359,-9.30803,-22.85780,-9.85052,167.80800,-51.31600,172.46300,-30.98310,872.64700,411.34300
46.00000,8.53938,-13.36900,-29.27020,-48.82530,5.74740,-14.17330,24.83310,40.80270,-12.36880,15.55570,9.66469,-9.30908,-22.87530,-9.84887,167.79800,-51.32900,172.45200,-30.98440,872.64300,411.33700
47.00000,8.53643,-13.37210,-29.27720,-48.83740,5.75068,-14.17240,24.83890,40.79290,-12.37910,15.55650,9.66695,-9.31622,-22.89500,-9.84712,167.78200,-51.34310,172.43500,-30.98500,872.65300,411.33400
48.00000,8.52182,-13.37270,-29.33480,-48.84200,5.72215,-14.19810,24.87970,40.85860,-12.32880,15.57020,9.65982,-9.25093,-22.97560,-9.85775,167.84000,-51.39580,172.48500,-31.10430,872.62500,411.20800
49.00000,8.52686,-13.36770,-29.31370,-48.84520,5.73918,-14.16860,24.80710,40.78990,-12.39820,15.56650,9.67407,-9.30882,-22.89060,-9.83533,167.75400,-51.37330,172.40500,-30.98500,872.65000,411.31100
50.00000,8.52086,-13.36270,-29.33290,-48.84350,5.58088,-14.18060,24.54830,40.93390,-12.40080,15.56780,9.67184,-9.17620,-22.65600,-9.77328,167.74500,-51.39180,172.39600,-31.01480,872.65300,411.29800
51.00000,8.52122,-13.36390,-29.36080,-48.85690,5.70579,-14.16710,24.74980,40.81560,-12.41980,15.57980,9.68013,-9.28052,-22.85030,-9.81573,167.72500,-51.40840,172.37400,-31.00170,872.65100,411.27100
52.00000,8.50591,-13.35170,-29.39870,-48.82490,5.71183,-14.16530,24.78080,40.78530,-12.41910,15.56840,9.68203,-9.28670,-22.89250,-9.82154,167.71800,-51.42610,172.36700,-31.02100,872.65200,411.24800
53.00000,8.51728,-13.35660,-29.39830,-48.83760,5.57200,-14.13390,24.52670,40.89720,-12.42120,15.58600,9.67508,-9.15928,-22.68030,-9.76853,167.71700,-51.44750,172.36700,-31.06920,872.64900,411.22500
54.00000,8.50765,-13.35080,-29.42930,-48.82740,5.69902,-14.17290,24.72580,40.80040,-12.42880,15.57090,9.68546,-9.26335,-22.88590,-9.81145,167.70400,-51.46230,172.34900,-31.07480,872.65000,411.18900
55.00000,8.52582,-13.36020,-29.41550,-48.83580,5.70613,-14.22110,24.73920,40.81630,-12.44040,15.57650,9.68087,-9.27482,-22.93470,-9.82035,167.69100,-51.48110,172.33900,-31.11720,872.65100,411.17300
56.00000,8.50916,-13.35730,-29.43320,-48.82840,5.71000,-14.17400,24.75180,40.75660,-12.43900,15.54710,9.68285,-9.27398,-22.94620,-9.81805,167.67900,-51.49810,172.32600,-31.14470,872.64600,411.13700
57.00000,8.52586,-13.36730,-29.42570,-48.85610,5.70572,-14.22100,24.71920,40.80610,-12.45220,15.55470,9.68246,-9.26967,-22.95550,-9.81425,167.66500,-51.51770,172.31000,-31.18600,872.63900,411.10800
58.00000,8.49879,-13.36720,-29.48350,-48.86380,5.69316,-14.20780,24.80800,40.82990,-12.39620,15.52780,9.66769,-9.22233,-23.08040,-9.83659,167.70800,-51.57950,172.35100,-31.37550,872.60800,410.94500
59.00000,8.49969,-13.37360,-29.49180,-48.85480,5.69553,-14.24860,24.78540,40.84970,-12.41020,15.52430,9.66902,-9.23100,-23.08890,-9.83634,167.68300,-51.59400,172.32800,-31.41730,872.60500,410.91700
60.00000,8.51595,-13.37360,-29.48860,-48.87560,5.71603,-14.27070,24.79130,40.86960,-12.42980,15.54360,9.66196,-9.25579,-23.09830,-9.84709,167.65600,-51.60250,172.31100,-31.46360,872.60200,410.90100
61.00000,8.51575,-13.37250,-29.50130,-48.87230,5.73502,-14.22730,24.79060,40.81760,-12.43950,15.55090,9.65771,-9.27052,-23.08050,-9.85415,167.63600,-51.60750,172.29900,-31.51340,872.60500,410.88000
62.00000,8.51335,-13.37730,-29.51560,-48.87890,5.74086,-14.22710,24.78850,40.81300,-12.43850,15.55950,9.65270,-9.27479,-23.08340,-9.86187,167.62700,-51.61470,172.29600,-31.58890,872.59800,410.83100
63.00000,8.50623,-13.35600,-29.49680,-48.83940,5.77541,-14.20270,24.67640,40.75170,-12.49930,15.54690,9.66236,-9.34626,-22.92490,-9.84441,167.54300,-51.55690,172.22600,-31.48330,872.63400,410.96800
64.00000,8.52149,-13.36260,-29.48420,-48.86180,5.78374,-14.20750,24.65370,40.75010,-12.50720,15.57230,9.65530,-9.35287,-22.90570,-9.85064,167.53100,-51.55380,172.22100,-31.55430,872.63200,410.94200
