Frame,L_Femur_L_Tibia,L_Tibia_L_Foot_X,L_Tibia_L_Foot_Y,L_Tibia_L_Foot_Z,R_Femur_R_Tibia,R_Tibia_R_Foot_X,R_Tibia_R_Foot_Y,R_Tibia_R_Foot_Z,Root_L_Femur_X,Root_L_Femur_Y,Root_L_Femur_Z,Root_R_Femur_X,Root_R_Femur_Y,Root_R_Femur_Z,World_Root_Ang_X,World_Root_Ang_Y,World_Root_Ang_Z,World_Root_Pos_X,World_Root_Pos_Y,World_Root_Pos_Z
27,19.40510,-14.72700,-27.54280,-41.88120,12.70420,-13.60530,23.52020,34.41680,-16.68860,11.61590,8.67139,-12.37640,-16.91010,-8.35246,153.53800,-76.35820,155.64100,-47.81840,874.37800,412.49700
28,19.40350,-14.71870,-27.56490,-41.87860,12.68850,-13.60000,23.54100,34.43020,-16.70770,11.62820,8.66734,-12.38990,-16.93900,-8.35925,153.45500,-76.35700,155.55900,-47.85090,874.38100,412.56600
29,19.40720,-14.71470,-27.58120,-41.86990,12.66960,-13.59750,23.58440,34.44790,-16.71980,11.64120,8.66423,-12.39470,-16.98670,-8.36905,153.39900,-76.36030,155.50500,-47.90580,874.38400,412.61900
30,19.41100,-14.70890,-27.60590,-41.87250,12.64510,-13.59640,23.64100,34.47700,-16.74080,11.65880,8.67094,-12.40250,-17.03260,-8.37515,153.32800,-76.35630,155.42900,-47.94720,874.39000,412.66100
31,19.40080,-14.71290,-27.66300,-41.87640,12.62810,-13.60020,23.85120,34.47200,-16.68520,11.67360,8.66571,-12.36390,-17.28900,-8.41657,153.42300,-76.41450,155.52300,-48.17640,874.38200,412.62000
32,19.39580,-14.70990,-27.68280,-41.88750,12.60040,-13.59950,23.89910,34.49310,-16.69220,11.68220,8.65771,-12.36640,-17.34980,-8.43054,153.36500,-76.41800,155.47000,-48.23660,874.39000,412.67200
33,19.33150,-14.68920,-27.53510,-41.93910,12.46030,-13.55430,23.64200,34.56900,-16.75690,11.51150,8.61877,-12.36840,-17.12530,-8.36958,152.89100,-76.39120,154.99800,-48.16860,874.46600,412.75700
34,19.37800,-14.68090,-27.64640,-41.85950,12.43080,-13.55240,23.65350,34.58790,-16.79450,11.61530,8.64389,-12.35140,-17.14670,-8.36981,152.87600,-76.39460,154.98100,-48.24440,874.46500,412.79300
35,19.37230,-14.68150,-27.66430,-41.85100,12.41410,-13.55740,23.66950,34.60340,-16.78300,11.61720,8.63842,-12.33580,-17.17450,-8.37728,152.87600,-76.40440,154.98300,-48.32310,874.46700,412.81700
36,19.36540,-14.69010,-27.64820,-41.88340,12.44200,-13.56310,23.71080,34.62580,-16.73140,11.64500,8.61855,-12.33160,-17.15940,-8.40617,153.09700,-76.37910,155.21500,-48.33820,874.45700,412.95900
37,19.37750,-14.69460,-27.65700,-41.87520,12.44450,-13.56500,23.72100,34.63130,-16.74280,11.64660,8.61534,-12.34250,-17.16710,-8.41361,153.05700,-76.37830,155.17700,-48.38810,874.45100,412.99700
38,19.39350,-14.71200,-27.69250,-41.89520,12.52490,-13.55960,23.87790,34.47490,-16.74410,11.66790,8.62447,-12.40110,-17.35010,-8.44486,153.07400,-76.38470,155.19200,-48.46300,874.42600,412.98700
39,19.40940,-14.70990,-27.70260,-41.88820,12.53680,-13.56620,23.89050,34.51170,-16.75760,11.66500,8.62531,-12.41150,-17.33910,-8.45230,153.04500,-76.38360,155.16100,-48.50810,874.42500,413.01600
40,19.42190,-14.71230,-27.72180,-41.87380,12.55130,-13.56880,23.88930,34.50690,-16.75900,11.67420,8.62856,-12.41050,-17.33230,-8.45424,153.05600,-76.38580,155.17000,-48.57830,874.41800,413.03500
41,19.43590,-14.70930,-27.72850,-41.85970,12.57580,-13.56230,23.87740,34.44110,-16.77200,11.67930,8.62330,-12.43180,-17.33680,-8.46059,153.02100,-76.38280,155.13900,-48.62910,874.41200,413.08000
42,19.43570,-14.70700,-27.71730,-41.85350,12.50280,-13.58420,23.63400,34.61170,-16.76700,11.66100,8.59962,-12.36140,-17.08540,-8.43180,153.00200,-76.38220,155.13300,-48.68380,874.41800,413.17100
43,19.43500,-14.71100,-27.76310,-41.85310,12.48260,-13.62640,23.64900,34.73750,-16.68990,11.66010,8.58277,-12.27060,-17.12860,-8.45148,153.17200,-76.44970,155.31000,-48.91710,874.38500,413.11200
44,19.44900,-14.72770,-27.80410,-41.87850,12.55460,-13.64160,23.76100,34.68690,-16.68400,11.68610,8.59558,-12.30560,-17.24610,-8.47490,153.22000,-76.45850,155.35200,-48.99150,874.35400,413.06700
45,19.45710,-14.73870,-27.80890,-41.89050,12.58160,-13.64390,23.81690,34.66020,-16.68270,11.68980,8.59224,-12.32360,-17.30450,-8.49239,153.21400,-76.46620,155.34700,-49.05890,874.35100,413.09000
46,19.46180,-14.73780,-27.82280,-41.89770,12.58410,-13.65390,23.76460,34.68700,-16.68060,11.69270,8.58668,-12.31370,-17.25230,-8.49194,153.20800,-76.47080,155.34500,-49.12080,874.34100,413.11600
47,19.46760,-14.73330,-27.82830,-41.87290,12.52940,-13.66070,23.61090,34.80040,-16.68680,11.69420,8.57586,-12.26750,-17.09330,-8.47106,153.17500,-76.47100,155.31900,-49.17070,874.34700,413.17800
48,19.47490,-14.74130,-27.84400,-41.89880,12.61300,-13.66600,23.73080,34.70000,-16.68100,11.72370,8.59188,-12.31740,-17.21150,-8.49242,153.24100,-76.46440,155.37800,-49.19670,874.32900,413.15000
49,19.48390,-14.74530,-27.84430,-41.90180,12.63130,-13.63940,23.69450,34.61710,-16.74270,11.73050,8.60289,-12.37820,-17.17020,-8.47932,153.05900,-76.43020,155.19200,-49.15660,874.34300,413.18800
50,19.47800,-14.74560,-27.85570,-41.90860,12.64290,-13.62880,23.73010,34.56280,-16.73370,11.73290,8.60480,-12.38330,-17.21160,-8.48424,153.06600,-76.43180,155.19600,-49.22270,874.35200,413.17300
51,19.47810,-14.74700,-27.86870,-41.90010,12.64110,-13.63730,23.73200,34.62080,-16.73170,11.74750,8.60839,-12.37650,-17.18730,-8.48548,153.06700,-76.42800,155.19600,-49.28840,874.35100,413.16100
52,19.47890,-14.75020,-27.88020,-41.89740,12.64720,-13.64210,23.75540,34.62590,-16.72590,11.75900,8.61005,-12.37670,-17.20550,-8.48946,153.07900,-76.42640,155.20800,-49.35590,874.35300,413.14200
53,19.48400,-14.76180,-27.88020,-41.92080,12.62450,-13.65140,23.67440,34.64210,-16.71480,11.75720,8.60286,-12.34590,-17.14290,-8.47765,153.10600,-76.42490,155.24000,-49.43480,874.34100,413.15100
54,19.49190,-14.75930,-27.88230,-41.92490,12.63730,-13.65190,23.74340,34.66060,-16.72220,11.76000,8.61474,-12.36000,-17.18770,-8.48160,153.10400,-76.41620,155.23000,-49.47430,874.34200,413.11200
